## US-003: IDE Web Low-Code para Formularios Inteligentes (iForm)
**Épica:** 2 — IDE Formularios | **Estado:** ✅ COMPLETADA (Back+Front)

| CA | Título (corto) | Back | Front | Unitarios | Componente | Integración | E2E | UAT | Sprint | Notas / Handoff |
|----|----------------|------|-------| ---- | ---- | ---- | ---- | ---- |--------|-----------------|
| CA-1 | Seleccionar Patrón de Formulario | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-2 | Análisis Bidireccional de Código en Tiempo Real | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-3 | Iconos de Ayuda en Pestañas de Código | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-4 | Sandboxing Estricto contra XSS (AST Evaluator) | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-5 | Factoría Reactiva de Zod On-The-Fly | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-6 | Aislamiento Perimetral CSS (Shadow DOM) | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-7 | Render Functions, Teleportación y Z-Index Orchestrator | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-8 | Navegación Modular y Agrupación de Malla | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-9 | Cohabitación de Maestros en un Proceso | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-10 | Inmersión Funcional "Alt+Tab Zero" (Full-Screen Focus) | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-11 | Paleta de Componentes Base HTML5 (Formulario Simple y Maestro) | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-12 | Drag & Drop Sensorial de Process Variables | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-13 | Mapeo de Entradas y Salidas Form-To-Process | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-14 | Botones Nativos de Estado Camunda (Task Lifecycle) | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-15 | Captura Automática de Errores Core (Smart Buttons) | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-16 | Constraint de Bajo Acoplamiento Form-To-Process | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-17 | Soporte de Motores de Lenguaje (Language Servers en Web IDE) | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-18 | Tooltips de Ayuda Visual (Propiedades Avanzadas) | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-19 | Maximización de Lienzo Visual (Contracción de Mónaco IDE) | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-20 | Permisos de Sobrescritura en Campos | ⏳ | ⏳ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Sin handoff formal (pre-protocolo) |
| CA-21 | Enrutador de Archivos Adjuntos por TRD | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA21_CA25 |
| CA-22 | Validación Reactiva Zod Defensiva (Debounce & Blur) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA21_CA25 |
| CA-23 | Estilos CSS Corporativos Estandarizados V1 | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA21_CA25 |
| CA-24 | Auto-Guardado de Borrador en Workdesk | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA21_CA25 |
| CA-25 | Reglas de Visibilidad Condicional | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA21_CA25 |
| CA-26 | Prevención Contra Borrado de Formularios Activos | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA26_CA30 |
| CA-27 | Control de Versiones de Diseño de Formulario | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA26_CA30 |
| CA-28 | Bitácora de Auditoría a Nivel de Campo | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA26_CA30 |
| CA-29 | Dropdown Alimentado por Exportación CSV | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA26_CA30 |
| CA-30 | Autocompletado mediante Integración API / BD Externa | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA26_CA30 |
| CA-31 | Componente de Firma Electrónica Manuscrita | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA31_CA35 |
